ws,text type,value,word,frq,fpm
is a type of,Domain,2.8.1 Human Ecology,supply,1,0.034945439859474604
is a type of,Domain,2.8.1 Human Ecology,attentuation,1,0.034945439859474604
is a type of,Domain,2.8.1 Human Ecology,glacial-lake,1,0.034945439859474604
is a type of,Domain,2.8.1 Human Ecology,Greetsieler,1,0.034945439859474604
is a type of,Domain,2.8.1 Human Ecology,USÂ,1,0.034945439859474604
is a type of,Domain,2.8.1 Human Ecology,landscape,1,0.034945439859474604
is a type of,Domain,2.8.1 Human Ecology,corn,1,0.034945439859474604
is a type of,Domain,2.8.1 Human Ecology,Bangladesh,1,0.034945439859474604
is a type of,Domain,2.8.1 Human Ecology,bed,1,0.034945439859474604
is a type of,Domain,2.8.1 Human Ecology,EPA,1,0.034945439859474604
is a type of,Domain,2.8.1 Human Ecology,PCB,1,0.034945439859474604
is a type of,Domain,2.8.1 Human Ecology,PBDEsÂ,1,0.034945439859474604
is a type of,Domain,2.8.1 Human Ecology,feedlot,1,0.034945439859474604
is a type of,Domain,2.8.1 Human Ecology,store,1,0.034945439859474604
is a type of,Domain,2.8.1 Human Ecology,isotope,1,0.034945439859474604
is a type of,Domain,2.8.1 Human Ecology,period,1,0.034945439859474604
is a type of,Domain,2.8.1 Human Ecology,shore,1,0.034945439859474604
is a type of,Domain,2.8.1 Human Ecology,bank,1,0.034945439859474604
is a type of,Domain,2.8.1 Human Ecology,power,1,0.034945439859474604
is a type of,Domain,2.8.1 Human Ecology,Maryland,1,0.034945439859474604
is a type of,Domain,2.8.1 Human Ecology,volume,1,0.034945439859474604
is a type of,Domain,2.8.1 Human Ecology,year,1,0.034945439859474604
is a type of,Domain,2.8.1 Human Ecology,housing,1,0.034945439859474604
is a type of,Domain,2.8.1 Human Ecology,tobacco,1,0.034945439859474604
is a type of,Domain,2.8.1 Human Ecology,food,1,0.034945439859474604
is a type of,Genre,Lexicographical material,water,1112,38.859329123735755
is a type of,Genre,Lexicographical material,temperature,534,18.660864884959437
is a type of,Genre,Lexicographical material,climate,509,17.787228888472573
