freq,fpm,rel,ref#,text type,value
11,0.3843998384542206,96.2,11,Domain,2.2 Biology
11,0.3843998384542206,431.6,11,Domain,2.2.4 Microbiology
608,21.246827434560558,138.8,11,Genre,Book
20,0.698908797189492,268.4,15,User,Semi-expert
3,0.1048363195784238,277.4,15,Editor,Unknown/NA editor
7,0.2446180790163222,52.7,15,Editor,Academic/Research/Educational
14,0.4892361580326444,161.8,15,Editor,Business/NGO
3,0.1048363195784238,46.2,15,Genre,Book
9,0.3145089587352714,94.8,15,Genre,Article
14,0.4892361580326444,188.5,15,Genre,Lexicographical material
2,0.06989087971894921,47.3,15,Domain,2.10 Oceanography
2,0.06989087971894921,23.0,15,Domain,2.7.1 Meteorology
2,0.06989087971894921,254.5,15,Domain,3.1 Marine Engineering
3,0.1048363195784238,198.9,15,Domain,2.2.2 Botany
3,0.1048363195784238,586.4,15,Domain,2.2.3 Zoology
3,0.1048363195784238,44.4,15,Domain,2.7.2 Climatology
4,0.13978175943789842,32.1,15,Domain,3.2.3 Coastal Engineering
14,0.4892361580326444,338.2,15,Domain,0 General
2,0.06989087971894921,195.1,15,Editor,Other
3,0.1048363195784238,352.5,15,Domain,2.8 Ecology
6,0.2096726391568476,41.0,15,User,Expert
46,1.6074902335358316,72.6,19,Editor,Government
74,2.5859625496011205,210.3,19,Editor,Unknown/NA editor
344,12.021231311659264,122.2,19,Editor,Business/NGO
351,12.265849390675584,81.2,19,Editor,Academic/Research/Educational
1,0.034945439859474604,62.8,19,Genre,Law
2,0.06989087971894921,323.7,19,Genre,Patent
31,1.0833086356437125,92.9,19,Editor,Other
7,0.2446180790163222,60.8,19,Genre,Thesis
27,0.9435268762058142,317.1,19,Genre,Others
38,1.3279267146600349,71.2,19,Genre,Report
194,6.779415332738072,62.8,19,Genre,Article
13,0.45429071817316985,51.3,19,Domain,3.1 Marine Engineering
13,0.45429071817316985,49.4,19,Domain,3.5.1 Renewable Energy
16,0.5591270377515937,43.2,19,Domain,2.5 Hydrology
17,0.5940724776110683,62.0,19,Domain,2.8 Ecology
18,0.6290179174705428,74.1,19,Domain,1 Environmental Protection
19,0.6639633573300174,65.3,19,Domain,2.6 Chemistry
13,0.45429071817316985,69.2,19,Domain,2.1 Geography
22,0.7687996769084412,133.5,19,Domain,2.2.3 Zoology
50,1.7472719929737301,36.7,19,Domain,2.10 Oceanography
80,2.795635188757968,146.0,19,Domain,2.4 Geology
142,4.962252460045393,50.7,19,Domain,2.7.1 Meteorology
177,6.185342855127004,132.7,19,Domain,0 General
182,6.360070054424377,83.6,19,Domain,2.7.2 Climatology
278,9.714832280933939,69.2,19,Domain,3.2.3 Coastal Engineering
41,1.4327630342384587,90.2,19,Domain,3.2.5.3 Air Quality Management
11,0.3843998384542206,22.6,19,Domain,2.2.2 Botany
10,0.349454398594746,61.5,19,Domain,3.2.4 Mining Engineering
8,0.27956351887579683,65.1,19,Domain,3.2.5 Environmental Engineering
195,6.814360772597547,92.2,19,Genre,Book
382,13.349158026319298,158.1,19,Genre,Lexicographical material
1,0.034945439859474604,192.6,19,Domain,1.3 Sustainable Tourism
2,0.06989087971894921,17.8,19,Domain,1.1 Environmental Law
2,0.06989087971894921,40.2,19,Domain,2.2 Biology
2,0.06989087971894921,38.3,19,Domain,2.3 Physics
2,0.06989087971894921,9.5,19,Domain,2.9 Soil Sciences
3,0.1048363195784238,18.4,19,Domain,3.2.5.1 Waste Management
4,0.13978175943789842,29.4,19,Domain,3.2.1 Transport and Infrastructure Engineering
4,0.13978175943789842,16.9,19,Domain,3.5 Energy Engineering
5,0.174727199297373,35.2,19,Domain,2.2.5 Molecular Biology
5,0.174727199297373,13.1,19,Domain,3.2.2 Hydraulic Engineering
6,0.2096726391568476,16.3,19,Domain,3.2.5.2 Water Treatment and Supply
7,0.2446180790163222,12.8,19,Domain,3.3  Agricultural Engineering
7,0.2446180790163222,84.5,19,Domain,3.4 Chemical Engineering
3,0.1048363195784238,44.1,19,User,Unknown/NA user
205,7.163815171192294,171.2,19,User,General public
311,10.868031796296602,65.2,19,User,Expert
327,11.427158834048194,134.9,19,User,Semi-expert
39,1.3628721545195095,85.8,23,User,General public
139,4.857416140466969,151.1,23,User,Semi-expert
143,4.997197899904868,79.1,23,User,Expert
4,0.13978175943789842,37.4,23,Domain,1 Environmental Protection
4,0.13978175943789842,80.6,23,Domain,1.1 Environmental Law
4,0.13978175943789842,55.1,23,Domain,2.2.3 Zoology
4,0.13978175943789842,24.5,23,Domain,2.5 Hydrology
9,0.3145089587352714,45.0,23,Domain,3.2.5.3 Air Quality Management
10,0.349454398594746,166.6,23,Domain,3.2.1 Transport and Infrastructure Engineering
11,0.3843998384542206,91.1,23,Domain,2.8 Ecology
12,0.4193452783136952,145.0,23,Domain,2.1 Geography
12,0.4193452783136952,20.0,23,Domain,2.10 Oceanography
12,0.4193452783136952,328.8,23,Domain,3.4 Chemical Engineering
15,0.5241815978921189,239.5,23,Domain,2.2.5 Molecular Biology
16,0.5591270377515937,153.1,23,Domain,3.5 Energy Engineering
21,0.7338542370489667,21.9,23,Domain,2.7.2 Climatology
30,1.0483631957842379,124.3,23,Domain,2.4 Geology
38,1.3279267146600349,177.5,23,Domain,2.2.2 Botany
39,1.3628721545195095,161.8,23,Domain,3.3  Agricultural Engineering
41,1.4327630342384587,319.7,23,Domain,2.6 Chemistry
54,1.8870537524116284,43.8,23,Domain,2.7.1 Meteorology
72,2.5160716698821712,40.7,23,Domain,3.2.3 Coastal Engineering
95,3.319816786650087,161.7,23,Domain,0 General
3,0.1048363195784238,55.5,23,Domain,3.2.5 Environmental Engineering
3,0.1048363195784238,32.2,23,Domain,2.9 Soil Sciences
1,0.034945439859474604,14.0,23,Domain,3.2.4 Mining Engineering
5,0.174727199297373,37.4,23,Editor,Unknown/NA editor
10,0.349454398594746,79.0,23,Editor,Other
37,1.2929812748005602,153.9,23,Editor,Government
129,4.507961741872224,120.8,23,Editor,Business/NGO
140,4.892361580326444,85.4,23,Editor,Academic/Research/Educational
2,0.06989087971894921,45.8,23,Genre,Thesis
16,0.5591270377515937,79.0,23,Genre,Report
55,1.921999192271103,46.9,23,Genre,Article
136,4.752579820888546,169.5,23,Genre,Book
1,0.034945439859474604,6.2,23,Domain,3.2.5.2 Water Treatment and Supply
112,3.9138892642611554,122.2,23,Genre,Lexicographical material
65806,2299.6196153925857,78.2,27,User,Expert
54100,1890.548296397576,126.5,27,User,Semi-expert
27720,968.687592904636,131.1,27,User,General public
1645,57.485248568835715,136.9,27,User,Unknown/NA user
27,0.9435268762058142,61.2,27,User,Unknown/NA user
2998,104.76642869870486,40.3,27,Domain,3.2.2 Hydraulic Engineering
2990,104.48686517982905,136.0,27,Domain,1.1 Environmental Law
2837,99.14021288132945,77.4,27,Domain,2.1 Geography
2454,85.75610941515068,76.3,27,Domain,2.2.3 Zoology
2360,82.47123806836007,145.9,27,Domain,3.4 Chemical Engineering
2068,72.26716962939348,41.8,27,Domain,3.1 Marine Engineering
3426,119.72307695855999,107.9,27,Domain,3.2.4 Mining Engineering
1922,67.16513540991018,69.2,27,Domain,2.2.5 Molecular Biology
1014,35.43467601750724,42.3,27,Domain,3.2.5 Environmental Engineering
986,34.45620370144196,37.1,27,Domain,3.2.1 Transport and Infrastructure Engineering
693,24.2171898226159,71.3,27,Domain,2.2 Biology
324,11.32232251446977,31.8,27,Domain,2.3 Physics
212,7.408433250208616,97.8,27,Domain,2.2.4 Microbiology
168,5.8708338963917335,63.0,27,Domain,2.8.1 Human Ecology
1480,51.71925099202241,35.8,27,Domain,2.9 Soil Sciences
3586,125.31434733607593,49.6,27,Domain,2.5 Hydrology
3785,132.26848986811135,73.6,27,Domain,3.5.1 Renewable Energy
3883,135.69314297433988,83.8,27,Domain,3.5 Energy Engineering
38381,1341.2409272464947,48.9,27,Domain,3.2.3 Coastal Engineering
28034,979.6604610205111,66.0,27,Domain,2.7.2 Climatology
25904,905.2266741198301,99.5,27,Domain,0 General
25245,882.1976292524363,46.2,27,Domain,2.7.1 Meteorology
10829,378.42416823825045,101.4,27,Domain,3.3  Agricultural Engineering
9459,330.5489156307703,35.6,27,Domain,2.10 Oceanography
9353,326.844699005666,105.4,27,Domain,3.2.5.3 Air Quality Management
7908,276.3485384087251,109.8,27,Domain,3.2.5.2 Water Treatment and Supply
7004,244.7578607757601,65.5,27,Domain,2.4 Geology
6558,229.17219459843443,69.1,27,Domain,2.2.2 Botany
5495,192.02519202781295,96.7,27,Domain,2.6 Chemistry
5305,185.38555845451276,99.1,27,Domain,2.8 Ecology
4769,166.65480268983438,100.6,27,Domain,1 Environmental Protection
4702,164.31345821924958,147.7,27,Domain,3.2.5.1 Waste Management
152,5.3117068586401395,122.1,27,Domain,1.2 Environmental Education
116,4.053671023699054,73.5,27,Domain,3.2.5.4 Soil Quality Management
14,0.4892361580326444,13.8,27,Domain,1.3 Sustainable Tourism
27,0.9435268762058142,61.2,27,Editor,Unknown/NA editor
6850,239.376263037401,116.3,27,Editor,Other
8215,287.0767884455839,132.3,27,Editor,Unknown/NA editor
58981,2061.1169883516714,138.3,27,Genre,Lexicographical material
38575,1348.0203425792326,103.4,27,Genre,Book
34383,1201.5290586883152,63.1,27,Genre,Article
10724,374.75489705300566,113.8,27,Genre,Report
2481,86.69963629135648,165.1,27,Genre,Others
2181,76.2160043335141,107.4,27,Genre,Thesis
972,33.96696754340931,106.2,27,Genre,Informational website
347,12.126067631237687,123.6,27,Genre,Law
231,8.072396607538634,211.9,27,Genre,Patent
205,7.163815171192294,257.1,27,Genre,Leaflet
191,6.674579013159649,42.3,27,Genre,News
27,0.9435268762058142,61.2,27,Genre,Unknown/NA genre
73643,2573.487027571288,96.5,27,Editor,Academic/Research/Educational
48823,1706.1412102591285,98.3,27,Editor,Business/NGO
11740,410.2594639502318,105.0,27,Editor,Government
27,0.9435268762058142,40.3,27,Domain,Unknown/NA domain
1184,41.37540079361793,34.8,31,Domain,2.5 Hydrology
1252,43.751690704062206,64.4,31,Domain,2.9 Soil Sciences
1413,49.377906521437616,58.4,31,Domain,3.5.1 Renewable Energy
1454,50.81066955567607,41.6,31,Domain,3.2.2 Hydraulic Engineering
1658,57.93953928700889,48.9,31,Domain,3.2.5.2 Water Treatment and Supply
1701,59.4421932009663,63.6,31,Domain,2.6 Chemistry
1712,59.826593039420516,78.6,31,Domain,3.5 Energy Engineering
1724,60.24593831773421,68.4,31,Domain,2.8 Ecology
1799,62.866846307194805,120.4,31,Domain,3.2.4 Mining Engineering
2173,75.9364408146383,210.0,31,Domain,1.1 Environmental Law
2180,76.18105889365464,97.7,31,Domain,1 Environmental Protection
2780,97.1483228093394,62.3,31,Domain,2.2.2 Botany
4241,148.2036104440318,84.3,31,Domain,3.3  Agricultural Engineering
4721,164.9774215765796,113.1,31,Domain,3.2.5.3 Air Quality Management
5104,178.36152504275836,40.8,31,Domain,2.10 Oceanography
6612,231.05924835084605,131.3,31,Domain,2.4 Geology
9556,333.9386232971393,78.0,31,Domain,0 General
11988,418.92593303538155,46.6,31,Domain,2.7.1 Meteorology
12685,443.2829046174353,63.4,31,Domain,2.7.2 Climatology
24200,845.6796445992854,65.5,31,Domain,3.2.3 Coastal Engineering
1100,38.43998384542206,47.3,31,Domain,3.1 Marine Engineering
1011,35.329839697928826,58.6,31,Domain,2.1 Geography
782,27.327333970109137,59.9,31,Domain,2.2.5 Molecular Biology
21299,744.3029235669495,87.1,31,Editor,Business/NGO
37224,1300.8090533290824,99.1,31,Editor,Academic/Research/Educational
4,0.13978175943789842,278.3,31,Genre,Mailing list
13,0.45429071817316985,24.2,31,Genre,Patent
23,0.8037451167679158,105.8,31,Genre,Unknown/NA genre
96,3.354762226509562,244.5,31,Genre,Leaflet
134,4.682688941169597,60.2,31,Genre,News
228,7.967560287960209,50.6,31,Genre,Informational website
635,22.19035431076637,459.3,31,Genre,Law
1386,48.4343796452318,138.6,31,Genre,Thesis
1566,54.72455881993722,211.7,31,Genre,Others
10950,382.65256646124686,236.0,31,Genre,Report
13911,486.12601388515117,75.7,31,Genre,Book
17825,622.9024654951348,66.4,31,Genre,Article
26746,934.6507344815077,127.4,31,Genre,Lexicographical material
13,0.45429071817316985,17.5,31,Domain,3.2.5.4 Soil Quality Management
20,0.698908797189492,41.9,31,Domain,1.3 Sustainable Tourism
23,0.8037451167679158,73.0,31,Domain,Unknown/NA domain
43,1.502653913957408,34.3,31,Domain,2.8.1 Human Ecology
54,1.8870537524116284,11.8,31,Domain,2.2 Biology
54,1.8870537524116284,52.9,31,Domain,2.2.4 Microbiology
64,2.2365081510063747,109.2,31,Domain,1.2 Environmental Education
284,9.924504920090786,59.2,31,Domain,2.3 Physics
431,15.061484579433552,56.6,31,Domain,3.4 Chemical Engineering
498,17.40282905001835,44.1,31,Domain,3.2.5 Environmental Engineering
565,19.744173520603148,45.1,31,Domain,3.2.1 Transport and Infrastructure Engineering
702,24.531698781351167,46.9,31,Domain,3.2.5.1 Waste Management
786,27.467115729547036,51.9,31,Domain,2.2.3 Zoology
8255,288.47460603996285,149.9,31,Editor,Government
3807,133.0372895450198,124.5,31,Editor,Unknown/NA editor
2909,101.65628455121161,100.3,31,Editor,Other
23,0.8037451167679158,105.8,31,Editor,Unknown/NA editor
23,0.8037451167679158,105.8,31,User,Unknown/NA user
733,25.61500741699488,123.9,31,User,Unknown/NA user
10301,359.97297599244786,99.0,31,User,General public
25108,877.4101039916883,119.2,31,User,Semi-expert
37352,1305.2820696310953,90.2,31,User,Expert
5,0.174727199297373,112.2,35,Genre,Patent
