s.id,frq,fpm,ref#
s#209846,28,0.9784723160652888,7
s#878433,25,0.8736359964868651,7
s#993565,25,0.8736359964868651,7
s#13981,25,0.8736359964868651,7
s#318503,25,0.8736359964868651,7
s#407265,25,0.8736359964868651,7
s#260373,24,0.8386905566273904,7
s#380828,24,0.8386905566273904,7
s#1010399,24,0.8386905566273904,7
s#581450,24,0.8386905566273904,7
s#309719,24,0.8386905566273904,7
s#582112,24,0.8386905566273904,7
s#377667,24,0.8386905566273904,7
s#396731,24,0.8386905566273904,7
s#336177,24,0.8386905566273904,7
s#212109,24,0.8386905566273904,7
s#306148,22,0.7687996769084412,7
s#572724,22,0.7687996769084412,7
s#532199,21,0.7338542370489667,7
s#28449,21,0.7338542370489667,7
s#396933,26,0.9085814363463397,7
s#633242,26,0.9085814363463397,7
s#77113,27,0.9435268762058142,7
s#805483,27,0.9435268762058142,7
s#550594,35,1.223090395081611,7
s#876170,34,1.1881449552221366,7
s#933439,32,1.1182540755031873,7
s#204230,32,1.1182540755031873,7
s#602828,32,1.1182540755031873,7
s#493053,32,1.1182540755031873,7
s#492738,32,1.1182540755031873,7
s#204526,32,1.1182540755031873,7
s#945388,32,1.1182540755031873,7
s#308697,57,1.9918900719900523,7
s#446952,30,1.0483631957842379,7
s#14008,30,1.0483631957842379,7
s#28141,30,1.0483631957842379,7
s#335768,30,1.0483631957842379,7
s#138374,30,1.0483631957842379,7
s#1058761,28,0.9784723160652888,7
s#584441,28,0.9784723160652888,7
s#674064,28,0.9784723160652888,7
s#252041,28,0.9784723160652888,7
s#267900,54,1.8870537524116284,7
s#908422,30,1.0483631957842379,7
s#644567,84,2.9354169481958667,7
s#637640,84,2.9354169481958667,7
s#666303,84,2.9354169481958667,7
s#531126,36,1.2580358349410856,7
s#154106,44,1.5375993538168824,7
s#76882,8,0.27956351887579683,11
s#718511,5,0.174727199297373,11
s#586198,5,0.174727199297373,11
s#634804,5,0.174727199297373,11
s#658124,5,0.174727199297373,11
s#668377,5,0.174727199297373,11
s#718938,5,0.174727199297373,11
s#766774,5,0.174727199297373,11
s#175232,5,0.174727199297373,11
s#292242,5,0.174727199297373,11
s#809557,5,0.174727199297373,11
s#251002,6,0.2096726391568476,11
s#21611,6,0.2096726391568476,11
s#852007,6,0.2096726391568476,11
s#325530,6,0.2096726391568476,11
s#83233,6,0.2096726391568476,11
s#744756,6,0.2096726391568476,11
s#86624,6,0.2096726391568476,11
s#12197,6,0.2096726391568476,11
s#442933,6,0.2096726391568476,11
s#505497,5,0.174727199297373,11
s#863116,5,0.174727199297373,11
s#633921,8,0.27956351887579683,11
s#146365,8,0.27956351887579683,11
s#586446,8,0.27956351887579683,11
s#658115,6,0.2096726391568476,11
s#188007,6,0.2096726391568476,11
s#831697,6,0.2096726391568476,11
s#1025682,5,0.174727199297373,11
s#1016070,5,0.174727199297373,11
