text type,count,freq min,freq max,freq mean,freq std,fpm min,fpm max,fpm mean,fpm std,rel min,rel max,rel mean,rel std
Domain,36,1,38381,722.1561338289963,2407.7899852206538,0.034945439859474604,1341.2409272464947,25.23606374387188,84.1412801227736,4.6,1200.2,81.77416356877323,86.06625863700803
Editor,5,1,73643,2570.4060402684563,7180.752237277237,0.034945439859474604,2573.487027571288,89.82396969463159,250.9345454535594,9.8,389.6,104.11946308724833,47.0434295771197
Genre,13,1,58981,1572.8562628336756,4993.391649830557,0.034945439859474604,2061.1169883516714,54.96415394045219,174.49626759395636,2.9,11165.1,185.8303901437372,619.2665205862362
User,4,1,65806,3374.3656387665196,8338.888403629984,0.034945439859474604,2299.6196153925857,117.91869149339301,291.40612320392177,10.6,314.1,110.3,47.240408494108785
