ref#,relation,cql,concsize,count,freq min,freq max,freq mean,freq std,fpm min,fpm max,fpm mean,fpm std,rel min,rel max,rel mean,rel std
106,#7 WHOLE part such as PART,"1:[tag=""N.*""] [lemma=""element|part|component|constituent|piece|portion|section|fragment|content""] "",|\(""? [word=""such""] [word=""as""] [tag!=""V.*""]{0,7} 2:[tag=""N.*""] within <s/>",200.0,39,1.0,112.0,23.153846153846153,29.400625182699827,0.034945439859474604,3.9138892642611554,0.8091213382847581,1.0274177791529913,12.0,1200.2,149.70000000000002,227.33584592427405
110,#8 part of the WHOLE :/such as/namely PART,"[lemma=""element|part|component|constituent|piece|portion|section|fragment|content""] [word=""of""] [tag!=""V.*""]{0,5} 1:[tag=""N.*""] [tag!=""V.*""]{0,5} "",|\(""? ([tag="":""] | [word=""such""] [word=""as""] | [word=""especially|primarily|namely|usually|typically|characteristically|generally|mainly""]) [tag!=""V.*""]{0,7} 2:[tag=""N.*""] within <s/>",1995.0,54,1.0,960.0,165.7037037037037,261.4201872955614,0.034945439859474604,33.54762226509561,5.790588812269976,9.135443433189627,35.1,490.9,96.77407407407406,76.06581357225797
114,#9 a part of the WHOLE is PART,"([tag=""DT""]|[tag=""CD""]|[word=""some|several|any|various|distinct|different""]) [tag=""RB.*""]* [tag=""JJ.*""]* [lemma=""element|part|component|constituent|piece|portion|section|fragment""][word=""of""] [tag!=""V.*""]{0,5} 1:[tag=""N.*""] [tag!=""V.*""]{0,5} [lemma=""be""] [tag!=""V.*""]{0,7} 2:[tag=""N.*""] within <s/>",1700.0,52,1.0,924.0,148.3653846153846,227.9403971669644,0.034945439859474604,32.289586430154536,5.1846936253047415,7.9654774407429105,17.8,279.7,80.16730769230769,46.76397021486103
118,#10 (that) part of the WHOLE is called PART,"([tag=""DT""]|[tag=""CD""]|[word=""some|several|any|various|distinct|different""]) [tag=""RB.*""]* [tag=""JJ.*""]* [lemma=""element|part|component|constituent|piece|portion|section|fragment|segment""][word=""of""] [tag!=""V.*""]{0,5} 1:[tag=""N.*""] [tag!=""V.*""]* [lemma=""be""] [tag=""RB.*""]* [word=""called|termed|known|named|referred""] [word=""to""]? [word=""as""]? ([tag=""DT|RB.*|JJ.*|N.*""]|[word=""or|,|\(|\)""])*  2:[tag=""N.*""] within <s/>",62.0,27,1.0,33.0,10.555555555555555,10.229419614084938,0.034945439859474604,1.153199515362662,0.36886853185000973,0.35747156792133505,24.1,284.3,103.25925925925924,61.20194352908975
122,"#11 PART, (a) component of WHOLE","2:[tag=""N.*""] "",|\("" [tag=""DT""]? [tag=""RB.*""]* [tag=""JJ.*""]* [lemma=""element|part|component|constituent|piece|portion|section|fragment|content|segment""] [word=""of""] ([tag=""DT|RB.*|JJ.*|N.*""]|[word="",|and|or""])* 1:[tag=""N.*""] within <s/>",1196.0,50,1.0,554.0,108.78,154.30479908417678,0.034945439859474604,19.359773682148926,3.801364947913647,5.39224907642441,5.1,343.5,85.964,53.11596001357093
126,#12 WHOLE (which) is divided into x parts: PART,"1:[tag=""N.*""] [tag!=""V.*""]{0,5} ([tag=""IN/that|WDT""] [tag=""V.*""])? [tag!=""V.*""]{0,5} [lemma=""be""] [tag=""RB.*""]* [word=""divided""] [word=""into|in""] [tag=""CD|DT""]? [tag=""RB.*""]* [tag=""JJ.*""]* [lemma=""element|part|component|constituent|piece|portion|section|fragment|content|segment""] "",|\(""?  ([tag="":""] | [word=""such""] [word=""as""] | [word=""especially|primarily|namely|usually|typically|characteristically|generally|mainly""]) [tag!=""V.*""]* 2:[tag=""N.*""] within <s/>",216.0,26,6.0,138.0,41.0,35.29305880764658,0.2096726391568476,4.822470700607496,1.4327630342384587,1.233331464019514,34.3,680.5,151.47307692307692,156.46619457938462
130,#13 WHOLE is divided into x PART,"1:[tag=""N.*"" & lemma!=""type|kind|example|group|class|sort|category|family|species|subtype|subfamily|subgroup|subclass|subcategory|subspecies""] "",|\(""? [tag=""IN/that|WDT""]? [lemma=""be|,|\(""] [tag=""RB.*""] [word=""divided""] [word=""in|into""] [tag!=""V.*|IN"" & lemma!=""type|kind|example|group|class|sort|category|family|species|subtype|subfamily|subgroup|subclass|subcategory|subspecies""]* 2:[tag=""N.*"" & lemma!=""type|kind|example|group|class|sort|category|family|species|subtype|subfamily|subgroup|subclass|subcategory|subspecies""] within <s/>",150.0,35,1.0,87.0,18.571428571428573,23.927938032504912,0.034945439859474604,3.0402532677742906,0.6489867402473856,0.8361723194761354,11.9,317.5,89.13428571428572,71.68303164075918
137,#14 WHOLE made/formed/built of MATERIAL,"1:[tag=""N.*""] "",|\(""? [tag=""IN/that|WDT""]? [lemma=""be|,|\(""]? [tag=""RB.*""]* [word=""made|built|constructed|formed""] [word=""up""]? [word=""of|from|with""] [tag!=""V.*""]*  2:[tag=""N.*""] within <s/>",5949.0,50,2.0,2765.0,530.96,799.2458169539377,0.06989087971894921,96.62414121144727,18.554630747786632,27.929996629300476,26.0,166.7,77.968,36.28767958682283
141,#15 WHOLE contains MATERIAL,"1:[tag=""N.*""] [tag!=""V.*""]{0,5} ([tag=""IN/that|WDT""] [tag=""V.*""])? [tag!=""V.*""]{0,5} [lemma=""contain"" & tag!=""VVN""] [tag!=""V.*""]{0,7} 2:[tag=""N.*"" & lemma!=""part|component|element|fraction|constituent|piece|portion|percent|percentage|region|area|zone|section|segment|fragment|content|concentration|volume|load|amount|mixture|composition|level""] within <s/>",33273.0,59,3.0,15616.0,2535.0169491525426,4139.392865241378,0.1048363195784238,545.7079888455553,88.58728233935895,144.65290442703082,8.5,214.5,81.80169491525423,47.166533618970305
145,#16 MATERIAL contained in WHOLE,"2:[tag=""N.*""] [tag!=""V.*""]{0,5} ([tag=""IN/that|WDT""] [tag=""V.*""])? [tag!=""V.*""]{0,5} [lemma=""be""]? [word=""contained""] [tag=""RB.*""] [word=""in""] [tag!=""V.*""]* 1:[tag=""N.*""] within <s/>",,0,,,,,,,,,,,,
149,#17 WHOLE consists of MATERIAL,"1:[tag=""N.*""] [tag!=""V.*""]{0,5} ([tag=""IN/that|WDT""] [tag=""V.*""])? [tag!=""V.*""]{0,5} [lemma=""consist""] [tag=""RB.*""]* [word=""of""] [tag!=""V.*""]* 2:[tag=""N.*""] within <s/>",28282.0,55,3.0,14631.0,2291.927272727273,3736.6825842387975,0.1048363195784238,511.2867305839729,80.09240667138054,130.58001652146302,10.1,682.7,81.15636363636361,88.95243165671806
153,#18 WHOLE has a x fraction/percent of MATERIAL,"1:[tag=""N.*""] "",|\(""? ([tag=""IN/that|WDT""] [tag=""V.*""])? [tag!=""V.*""]{0,5} [lemma=""have|include|possess|contain""] [tag=""DT""] [tag!=""V.*""]{0,5} [lemma=""fraction|percent|piece|portion|mixture|concentration|composition|content""] [word=""of""] [tag!=""V.*""]{0,7} 2:[tag=""N.*""] within <s/>",859.0,41,1.0,415.0,91.8048780487805,112.32324325628136,0.034945439859474604,14.50235754168196,3.2081618446600593,3.9251851420335155,5.2,593.2,112.10243902439024,109.83305852020347
161,#1 ENTITY connected to PLACE,"1:[tag=""N.*""] [tag!=""V.*""]{0,5} ([tag=""IN/that|WDT""] [tag=""V.*""])? [tag!=""V.*""]{0,5} [lemma=""be""]? [tag=""RB.*""]* ([word=""connected""] [word=""to""] | [word=""delimited""] [word=""by""]) [tag!=""V.*""]* 2:[tag=""N.*""] within <s/>",2735.0,45,2.0,1952.0,280.6222222222222,425.5328899204389,0.06989087971894921,68.21349860569441,9.806466989898784,14.870434012943123,11.9,11165.1,336.8622222222222,1652.8994489421104
165,#2 ENTITY found in PLACE,"1:[tag=""N.*""] [tag!=""V.*""]{0,5} ([tag=""IN/that|WDT""] [tag=""V.*""])? [tag!=""V.*""]{0,5} [lemma=""be""]? [tag=""RB.*""]* [word=""found|built|placed|piled|stacked|mounted|located""] [word=""near|in|along|on|by|next|over|at|into|onto|under""] [word=""to""]? [tag!=""V.*""]* 2:[tag=""N.*""] within <s/>",61297.0,59,2.0,36067.0,4704.6949152542375,8080.380680376468,0.06989087971894921,1260.3771794116703,164.4076332181929,282.37245710775636,4.8,256.6,75.35932203389832,43.02354655480097
